app_id,application_name,description,business_owner,technical_owner,current_platform,os,database,database_version,app_type,user_count,data_classification,sla_tier,integration_count,dependencies_documented,6r_strategy,target_platform,migration_wave,migration_status,fca_critical_service,gdpr_pii_data,notes
APP-001,Customer Portal (Web),Customer-facing web portal for account management and ISA applications,David Okafor,Michael Evans,RHEL 7 + Apache Tomcat 8.5,RHEL 7,Oracle 19c (ORCL-01),19.0,Web Application,180000,Restricted,Tier-1,8,Partial,Refactor,EKS microservices,4,Not Started,YES,YES,Depends on ORCL-01 and APP-012. Oracle sequences used for account IDs.
APP-002,Trade Processing Engine,Core trade execution and settlement engine,Sarah Williams,Michael Evans,Windows Server 2012 R2,Windows 2012 R2,Oracle 19c (ORCL-02),19.0,Batch + API,Internal,Restricted,Tier-1,12,No,Replatform,Aurora PostgreSQL,3,Not Started,YES,YES,Oracle-specific stored procedures. SCT assessment needed. SWIFT gateway integration.
APP-003,Risk Calculation Engine,Real-time portfolio risk calculation (VaR),Sarah Williams,Michael Evans,RHEL 8,RHEL 8,Oracle 19c (ORCL-05),19.0,Batch,Internal,Restricted,Tier-1,5,No,???,???,???,Not Started,YES,NO,Heavy Oracle PL/SQL. May need full rewrite. Performance-sensitive.
APP-004,Internal Reporting Portal,Management information and regulatory reporting,David Okafor,Michael Evans,Windows Server 2019,Windows 2019,SQL Server 2016,2016,Web Application,Internal,Internal,Tier-2,3,Yes,???,???,???,Not Started,NO,NO,Reporting queries run overnight. Could be SaaS candidate.
APP-005,Email Notification Service,Transactional email notifications to customers,James Patel,James Patel,RHEL 7,RHEL 7,MySQL 5.7,5.7,Microservice,N/A,Restricted,Tier-2,4,Yes,Refactor,EKS (Notifications microservice),2,Not Started,NO,YES,Candidate for first cloud-native refactor. MySQL schema simple.
APP-006,Document Management System,Customer document storage and retrieval,David Okafor,Michael Evans,Windows Server 2019,Windows 2019,SQL Server 2016,2016,Web Application,Internal + 180k customers,Restricted,Tier-1,6,No,???,???,???,Not Started,YES,YES,Stores KYC documents. FCA record keeping rules apply. Consider S3 + metadata DB.
APP-007,FX Rate Feed,Real-time FX rate ingestion and distribution,Sarah Williams,James Patel,RHEL 7,RHEL 7,Oracle 19c (ORCL-03),19.0,Integration,N/A,Internal,Tier-1,9,No,Replatform,Aurora PostgreSQL (ORCL-03 scope),3,Not Started,YES,NO,Reference data. Multiple downstream consumers. Rate feed provider integration.
APP-008,Batch Reporting Suite,Regulatory and management batch reports,David Okafor,Michael Evans,Windows Server 2012 R2,Windows 2012 R2,Oracle 19c (ORCL-04),19.0,Batch,Internal,Restricted,Tier-2,7,No,???,???,???,Not Started,YES,NO,FCA regulatory returns. RMAR reporting. Batch runs 2-4am. Potential Retire candidate.
APP-009,IT Service Management Portal,Internal ITSM ticketing system,Michael Evans,Michael Evans,Windows Server 2019,Windows 2019,SQL Server 2016,2016,Web Application,Internal,Internal,Tier-3,1,Yes,Repurchase,ServiceNow or Jira,2,Not Started,NO,NO,Repurchase candidate. No business differentiation.
APP-010,HR Portal,HR self-service portal,HR Director,Michael Evans,Windows Server 2019,Windows 2019,MySQL 5.7,5.7,Web Application,1200,Internal,Tier-3,2,Yes,Repurchase,Workday or similar,N/A,Not Started,NO,NO,Repurchase candidate.
APP-011,Network Monitoring Dashboard,Network performance monitoring,Michael Evans,Michael Evans,RHEL 7,RHEL 7,None,N/A,Web Application,Internal,Internal,Tier-3,1,Yes,Rehost,EC2,1,Not Started,NO,NO,Nagios-based. Simple rehost.
APP-012,Authentication Service,Internal LDAP/AD authentication proxy,Priya Sharma,Michael Evans,Windows Server 2019,Windows 2019,None (AD integrated),N/A,Integration,N/A,Restricted,Tier-1,25,No,???,???,???,Not Started,YES,NO,CRITICAL dependency. All apps auth through here. Replace with IAM Identity Centre?
APP-013,File Transfer Gateway,Automated file transfers with counterparties,Michael Evans,Michael Evans,RHEL 7,RHEL 7,None,N/A,Integration,N/A,Restricted,Tier-1,8,No,Rehost or Replatform,EC2 or AWS Transfer Family,???,Not Started,YES,NO,SFTP gateway. MQ Series integration.
APP-014,Data Quality Tool,Data validation and reconciliation,David Okafor,Michael Evans,Windows Server 2012 R2,Windows 2012 R2,SQL Server 2016,2016,Batch,Internal,Internal,Tier-2,4,No,???,???,???,Not Started,NO,NO,EOL OS. Assess retire vs replatform.
APP-015,Compliance Screening,AML and PEP screening (third-party integrated),Emma Clarke,Michael Evans,RHEL 8,RHEL 8,Oracle 19c (ORCL-01),19.0,Integration,N/A,Restricted,Tier-1,3,No,Replatform,???,???,Not Started,YES,YES,FCA AML rules. Third-party vendor: Refinitiv World-Check. Vendor cloud support needed.
APP-016,Payments Gateway,Payment instruction processing and routing,Sarah Williams,Michael Evans,RHEL 7,RHEL 7,Oracle 19c (ORCL-02),19.0,API + Integration,N/A,Restricted,Tier-1,11,No,Refactor,EKS (Payments microservice),4,Not Started,YES,YES,PCI DSS scope. Vocalink/Faster Payments integration. SWIFT CAT.
APP-017,Mobile Banking App Backend,REST API backend for iOS and Android apps,David Okafor,James Patel,RHEL 8,RHEL 8,Oracle 19c (ORCL-01),19.0,API,180000,Restricted,Tier-1,6,Yes,Refactor,EKS,4,Not Started,YES,YES,High traffic. 60% of customer interactions. Needs autoscaling.
APP-018,Internal Audit System,Audit trail and compliance logging,Emma Clarke,Michael Evans,Windows Server 2019,Windows 2019,SQL Server 2016,2016,Web Application,Internal,Restricted,Tier-1,8,No,Refactor,DynamoDB (AuditTrail table),3,Not Started,YES,NO,FCA audit trail requirements. 7-year retention. High write volume.
APP-019,Disaster Recovery Runbooks,DR documentation portal (internal wiki),Michael Evans,Michael Evans,Windows Server 2019,Windows 2019,MySQL 5.7,5.7,Web Application,Internal,Internal,Tier-3,1,Yes,Repurchase,Confluence Cloud,1,Not Started,NO,NO,Repurchase candidate.
APP-020,Capacity Planning Tool,Infrastructure capacity tracking spreadsheet,Michael Evans,Michael Evans,None (Excel),N/A,None,N/A,Spreadsheet,Internal,Internal,Tier-3,0,N/A,Retire,N/A,N/A,Retire,NO,NO,Replaced by AWS Cost Explorer and Compute Optimizer.
APP-021,Trade Confirmation Engine,Generates and distributes trade confirmations,Sarah Williams,Michael Evans,RHEL 7,RHEL 7,Oracle 19c (ORCL-02),19.0,Batch + API,N/A,Restricted,Tier-1,7,No,???,???,???,Not Started,YES,NO,Regulatory requirement. SWIFT and DTCC integration.
APP-022,Customer Onboarding Portal,Digital onboarding for new retail customers,David Okafor,James Patel,RHEL 8,RHEL 8,Oracle 19c (ORCL-01),19.0,Web Application,External,Restricted,Tier-1,5,Yes,Refactor,EKS,4,Not Started,YES,YES,KYC workflow. Integration with third-party ID verification.
APP-023,Interest Rate Calculator,ISA and savings account interest calculation,Sarah Williams,Michael Evans,Windows Server 2012 R2,Windows 2012 R2,SQL Server 2016,2016,Batch,Internal,Restricted,Tier-2,3,No,Replatform,Aurora PostgreSQL or Lambda,3,Not Started,YES,NO,Runs nightly. Simple business logic.
APP-024,Statement Generator,Monthly customer statement PDF generation,David Okafor,Michael Evans,RHEL 7,RHEL 7,Oracle 19c (ORCL-01),19.0,Batch,N/A,Restricted,Tier-2,4,No,Replatform,ECS or Lambda,3,Not Started,NO,YES,Customer PII in output. Encrypted PDF required.
APP-025,Network Access Control System,NAC for internal network access management,Priya Sharma,Michael Evans,Windows Server 2019,Windows 2019,None,N/A,Integration,N/A,Restricted,Tier-2,2,No,Retain,On-premise (temporary),N/A,Retain,NO,NO,Physical security tied to DC. Review at Wave 5.
APP-026,Physical Security Integration,CCTV and access control integration,Priya Sharma,Michael Evans,Windows Server 2019,Windows 2019,None,N/A,Integration,N/A,Internal,Tier-3,1,No,Retire or Retain,???,N/A,Not Started,NO,NO,DC-specific. Decommissions with DC.
APP-027,Legacy Fund Accounting System,Old fund accounting (partially replaced by APP-002),Sarah Williams,Michael Evans,Windows Server 2012 R2,Windows 2012 R2,Oracle 19c (ORCL-05),19.0,Batch,Internal,Restricted,Tier-1,2,No,???,???,???,Not Started,YES,NO,Interacts with trade processing. Is this still actively used? VERIFY.
APP-028,Printing and Correspondence,Physical mail generation and dispatch,David Okafor,Michael Evans,Windows Server 2019,Windows 2019,MySQL 5.7,5.7,Batch,N/A,Restricted,Tier-2,3,No,???,???,???,Not Started,NO,YES,Third-party print house integration. Contains customer addresses.
